Update title,Update link,Update type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Clicks,Click through rate (CTR),Likes,Comments,Shares,Follows,Engagement rate,Content Type
"Read our private markets roundtable with Invesco’s Investment Solutions team for more insights on how small- to mid-sized asset owners are investing in private markets. https://inves.co/37WBvAR
",https://www.linkedin.com/feed/update/urn:li:activity:6933038622610796544,Organic,,Jessica Huban,05/19/2022,,,All followers,31,,1,0.032258064,0,0,0,,0.032258064,
"After another wild week for markets, investors may be asking themselves whether the U.S. Federal Reserve's plan has been effective. Kristina Hooper assesses where the Fed appears to be making progress toward its goals and which issues are beyond the reach of central bank intervention. https://inves.co/3PrpYKC",https://www.linkedin.com/feed/update/urn:li:activity:6932779494940299264,Organic,,Jessica Huban,05/18/2022,,,All followers,39,,1,0.025641026,0,0,0,,0.025641026,
,https://www.linkedin.com/feed/update/urn:li:activity:6930923115103318016,Organic,,Xavier Gill,05/13/2022,,,All followers,116,,1,0.00862069,0,0,0,,0.00862069,
"Read our latest roundtable discussion for more insights on the risks in private markets and how to navigate them successfully. https://inves.co/3F5ap6M 
",https://www.linkedin.com/feed/update/urn:li:activity:6930501954901032960,Organic,,Jessica Huban,05/12/2022,,,All followers,50,,0,0,0,0,0,,0,
"Markets are clearly confused about how aggressive the U.S. Federal Reserve may get this year, says Kristina Hooper. But she believes there's light at the end of the tunnel. https://inves.co/3w0C1a5",https://www.linkedin.com/feed/update/urn:li:activity:6929841837717258241,Organic,,Jessica Huban,05/10/2022,,,All followers,29,,0,0,0,0,0,,0,
"April was a rough month for markets, but Kristina Hooper explores the “glass half full” moments that she sees within five of the key issues pressuring markets now. https://inves.co/38Y6KM9 ",https://www.linkedin.com/feed/update/urn:li:activity:6928061433385500672,Organic,,Jessica Huban,05/05/2022,,,All followers,56,,0,0,1,0,0,,0.017857144,
"Read our latest roundtable discussion, Private Markets: Outlook and Opportunities for insights on valuations, return expectations, and more. https://inves.co/3F5ap6M ",https://www.linkedin.com/feed/update/urn:li:activity:6927965168987475968,Organic,,Jessica Huban,05/05/2022,,,All followers,28,,1,0.035714287,0,0,0,,0.035714287,
"Hawkish talk from the U.S. Federal Reserve hasn’t done much to calm investor concerns about long-term inflation, but Brian Levitt says it may yet be premature to call the end of this cycle. https://inves.co/3vjBOib",https://www.linkedin.com/feed/update/urn:li:activity:6925121904089452544,Organic,,Jessica Huban,04/27/2022,,,All followers,51,,0,0,0,0,0,,0,
"Kristina Hooper explores three key issues in her latest commentary: The results of the French election, falling expectations for global growth, and the hawkish Fed. https://inves.co/3Kf0RHb",https://www.linkedin.com/feed/update/urn:li:activity:6924822834615607296,Organic,,Jessica Huban,04/26/2022,,,All followers,33,,0,0,0,0,0,,0,
"“Targeted policies and ways of thinking about the implications of addressing inequity from an investment perspective are becoming increasingly important,” says Invesco’s chief investment officer, Stephanie Butcher, discussing the rising importance of ESG. Read our full interview here: https://inves.co/3NSrHrN ",https://www.linkedin.com/feed/update/urn:li:activity:6922921919738519553,Organic,,Jessica Huban,04/21/2022,,,All followers,38,,0,0,0,0,0,,0,
What should investors be watching for this earnings season? Has US inflation peaked? What will happen in the French election? Kristina Hooper discusses these questions and more in her latest. https://inves.co/3OEmxQH,https://www.linkedin.com/feed/update/urn:li:activity:6922195850664304640,Organic,,Jessica Huban,04/19/2022,,,All followers,65,,1,0.015384615,0,0,0,,0.015384615,
"The ESG landscape has become more important than ever for asset owners – and the space is also evolving very quickly. Our interview with Invesco’s chief investment officer Stephanie Butcher addresses the challenge of ESG integration, the investment opportunities, and the importance of looking beyond data. https://inves.co/3NSrHrN ",https://www.linkedin.com/feed/update/urn:li:activity:6920385245221416960,Organic,,Jessica Huban,04/14/2022,,,All followers,53,,1,0.018867925,0,0,0,,0.018867925,
"As investors anticipate a potential inversion of the U.S. Treasury yield curve, Brian Levitt looks to history to see how U.S. stocks have reacted to past inversions: It’s a red flag for the economic cycle, but it doesn’t necessarily mean that the end of the cycle is imminent. https://inves.co/3NyfFU3 ",https://www.linkedin.com/feed/update/urn:li:activity:6915281576213786624,Organic,,Jessica Huban,03/31/2022,,,All followers,75,,0,0,0,0,0,,0,
"Higher inflation may be good news for real assets like real estate, infrastructure, and commodities. Dig into our outlook for markets in the year ahead. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6912760053989003264,Organic,,Jessica Huban,03/24/2022,,,All followers,90,,0,0,4,0,0,,0.044444446,
How should institutional investors balance the need for income in an environment of rising rates? Join our panel of experts for insights into the defensive role private credit can play during a rising inflationary environment. Register here for the webcast hosted by Pensions & Investments https://lnkd.in/dBZpww4J,https://www.linkedin.com/feed/update/urn:li:activity:6912382458063650816,Organic,,Jessica Huban,03/23/2022,,,All followers,67,,2,0.029850746,0,0,0,,0.029850746,
Our experts share their expectations for a variety of asset classes over the next decade. Gain more insight on our anticipation for the markets. https://inves.co/3IlH8Wh ,https://www.linkedin.com/feed/update/urn:li:activity:6910223265860853761,Organic,,Jessica Huban,03/17/2022,,,All followers,33,,0,0,0,0,0,,0,
"We are pleased to be a sponsor of the CFA Society Toronto ESG Bootcamp from March 22-24. To register or learn more, visit: https://inves.co/3u2d8IW",https://www.linkedin.com/feed/update/urn:li:activity:6909867656539996160,Organic,,Jessica Huban,03/16/2022,,,All followers,154,,4,0.025974026,1,0,0,,0.032467533,
"﻿As we count down to the Fed meeting this week, the central bank is faced with competing concerns – downward pressures on economic growth and upward pressures on inflation. Will the Fed be able to engineer a soft landing? Kristina Hooper discusses what to watch. https://inves.co/3Jhi971 ",https://www.linkedin.com/feed/update/urn:li:activity:6909568343880404994,Organic,,Jessica Huban,03/15/2022,,,All followers,51,,0,0,0,0,0,,0,
Expect inflation to remain elevated in 2022 – but what impact will it have as policymakers address interest rates? Learn how we see the year ahead unfolding. https://inves.co/3IlH8Wh ,https://www.linkedin.com/feed/update/urn:li:activity:6907709207123247105,Organic,,Jessica Huban,03/10/2022,,,All followers,25,,0,0,0,0,0,,0,
"With the long-anticipated March U.S. Federal Reserve meeting around the corner, investors are waiting to see whether the Federal Reserve can successfully thread the needle between inflation and growth. Our Q&A with Matt Brill tackles this question and many more fixed income topics, including the state of corporate balance sheets and where he sees opportunities in the market. https://inves.co/3Cj4WrD",https://www.linkedin.com/feed/update/urn:li:activity:6907324360965926912,Organic,,Jessica Huban,03/09/2022,,,All followers,60,,1,0.016666668,3,0,1,,0.083333336,
"We continue to receive questions about the market and economic ramifications of the crisis in Ukraine. This week Kristina Hooper addresses oil price concerns, recession risks, currencies and more. https://inves.co/3sPsUrk ",https://www.linkedin.com/feed/update/urn:li:activity:6907067496747409408,Organic,,Jessica Huban,03/08/2022,,,All followers,43,,1,0.023255814,0,0,0,,0.023255814,
"Today, we celebrate the achievements of our colleagues on International Women's Day and recognize that every day represents a new opportunity to #BreakTheBias. #IWD2022",https://www.linkedin.com/feed/update/urn:li:activity:6907039236034568192,Organic,,Jessica Huban,03/08/2022,,,All followers,108,,0,0,1,0,0,,0.009259259,
"The Russian invasion and resulting sanctions roiled markets, but Invesco Fixed Income’s Global Debt team still believes international fixed income can outperform over the next 2-3 years, led by emerging markets. https://inves.co/35p62WR",https://www.linkedin.com/feed/update/urn:li:activity:6905611648724533248,Organic,,Jessica Huban,03/04/2022,,,All followers,62,,2,0.032258064,0,0,0,,0.032258064,
How will the Russia-Ukraine crisis impact inflation? Could freezing Russia from SWIFT hurt markets? How might different asset classes be affected? Kristina Hooper and team address these questions and more in their assessment of recent economic sanctions. https://inves.co/35I0ciP,https://www.linkedin.com/feed/update/urn:li:activity:6905610885872898048,Organic,,Jessica Huban,03/04/2022,,,All followers,43,,1,0.023255814,0,0,0,,0.023255814,
"The global economy is in recovery mode. However, high inflation and the reversal of globalization are some risks on the horizon. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6905164988978446337,Organic,,Jessica Huban,03/03/2022,,,All followers,29,,0,0,0,0,0,,0,
"The global economy is in recovery mode. However, high inflation and the reversal of globalization are some risks on the horizon. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6905164988978446337,Sponsored,2022 CMAs Boosted Post,Jessica Huban,03/03/2022,03/07/2022,03/28/2022,All followers,68227,,217,0.003180559,0,0,0,0,0.003180559,
"The global economy is in recovery mode. However, high inflation and the reversal of globalization are some risks on the horizon. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6905164988978446337,Total,,Jessica Huban,03/03/2022,,,All followers,68256,,217,0.003179208,0,0,0,0,0.003179208,
"The outlook for the global economy is shaping up to be a lot brighter. However, there are still risks facing asset owners. Find out how we’re positioning our portfolios for the year ahead. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6903330309283401728,Organic,,Jessica Huban,02/26/2022,,,All followers,40,,3,0.075000003,4,0,0,,0.174999997,
"The outlook for the global economy is shaping up to be a lot brighter. However, there are still risks facing asset owners. Find out how we’re positioning our portfolios for the year ahead. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6903330309283401728,Sponsored,2022 CMAs Boosted Post 2,Jessica Huban,02/26/2022,03/10/2022,03/31/2022,All followers,45443,,159,0.003498889,5,0,0,0,0.004467135,
"The outlook for the global economy is shaping up to be a lot brighter. However, there are still risks facing asset owners. Find out how we’re positioning our portfolios for the year ahead. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6903330309283401728,Total,,Jessica Huban,02/26/2022,,,All followers,45483,,162,0.00356177,9,0,0,0,0.00461711,
"As Russian military operations began to unfold in Ukraine, Global Market Strategist Brian Levitt spoke with Paul Jackson about the current market reaction, the historical performance of stocks during past military conflicts, and his thoughts on asset allocation in this environment. https://inves.co/3IoTj4u
",https://www.linkedin.com/feed/update/urn:li:activity:6903072428990545921,Organic,,Jessica Huban,02/25/2022,,,All followers,60,9,0,0,0,0,0,,0,Video
"As events unfold in Ukraine, Global Market Strategist Arnab Das assesses the market response and the potential economic impact for the world. https://inves.co/3M2rTDH ",https://www.linkedin.com/feed/update/urn:li:activity:6903025400818327552,Organic,,Jessica Huban,02/25/2022,,,All followers,36,,0,0,0,0,0,,0,
"Private markets are becoming more important than ever for asset owners, especially in today’s challenging market environment. Neil Blundell, Invesco’s Head of Global Client Solutions and Alternative Solutions, discusses how smaller pension plans are using custom solutions to gain access to alternatives and to optimize their allocations to private markets. https://inves.co/3IUuflE ",https://www.linkedin.com/feed/update/urn:li:activity:6897539768528564224,Organic,,Jessica Huban,02/10/2022,,,All followers,40,,0,0,0,0,0,,0,
ESG and demand for sustainable buildings will drive the real estate sector moving forward – especially as Canada seeks to deliver on its formal commitment to drastically reduce greenhouse gas emissions by 2030. Find out more about how ESG and other key themes are shaping our real estate portfolio. https://inves.co/3g8QesO ,https://www.linkedin.com/feed/update/urn:li:activity:6897177305891123200,Organic,,Jessica Huban,02/09/2022,,,All followers,26,,0,0,0,0,0,,0,
"Small to mid-sized asset owners face challenges of scale when it comes to optimizing their private markets allocations. Watch Neil Blundell, Invesco’s Head of Global Client Solutions and Alternative Solutions, as he shares his views on why custom solutions are on the rise and how they’re helping smaller plans gain access to alternatives. https://inves.co/3IUuflE ",https://www.linkedin.com/feed/update/urn:li:activity:6895365422091501568,Organic,,Jessica Huban,02/04/2022,,,All followers,19,,0,0,0,0,0,,0,
"As #BlackHistoryMonth kicks off in North America, Invesco’s Black Professionals Network is proud to offer employees a month of events to reflect, educate and celebrate, all connected to our 2022 theme of “Lift Every Voice.” #GreaterPossibilitiesTogether #diversityandinclusion",https://www.linkedin.com/feed/update/urn:li:activity:6894995456611733504,Organic,,Jessica Huban,02/03/2022,,,All followers,69,,1,0.014492754,0,0,0,,0.014492754,
"Pent-up demand is driving growth in the North American real estate sector in the short term. However, there are three long-term trends that will reshape the space going forward - technology, demographics and ESG. Find out how these themes impact our decision making. https://inves.co/3g8QesO ",https://www.linkedin.com/feed/update/urn:li:activity:6894640655726174208,Organic,,Jessica Huban,02/02/2022,,,All followers,22,,0,0,0,0,0,,0,
"Wishing you good health, happiness and prosperity in the Year of the Tiger. #LunarNewYear #GreaterPossibilitiesTogether #diversityandinclusion ",https://www.linkedin.com/feed/update/urn:li:activity:6894263177035493376,Organic,,Jessica Huban,02/01/2022,,,All followers,52,,0,0,0,0,0,,0,
"We expect 2022 to be a year of transition, which means some adjustments to our favored asset classes for the environment we see ahead. Read our 2022 Investment Outlook for our views on a wide variety of sectors, factors, and asset classes. https://inves.co/3sqf3b2",https://www.linkedin.com/feed/update/urn:li:activity:6889605066769080324,Organic,,Jessica Huban,01/19/2022,,,All followers,59,6,0,0,0,0,0,,0,Video
"Emerging market underperformance has entered a late stage, but equity strategist Talley Léger says potential opportunities have begun to present themselves across the region. https://inves.co/3qEuqLM
",https://www.linkedin.com/feed/update/urn:li:activity:6889295424306352128,Organic,,Jessica Huban,01/18/2022,,,All followers,31,,0,0,0,0,0,,0,
"We expect inflation to peak in mid-2022, but what if it lasts longer than expected? Invesco Chief Economist John Greenwood discusses which asset classes we would favor in this downside scenario. https://inves.co/3sqf3b2",https://www.linkedin.com/feed/update/urn:li:activity:6886758789177974785,Organic,,Jessica Huban,01/11/2022,,,All followers,97,15,2,0.020618556,2,0,0,,0.041237112,Video
"In 2022, we expect global growth to decelerate to a more sustainable rate as fiscal stimulus is gradually removed. But what if growth ends up being stronger than we anticipate? We discuss the probability of this upside scenario, and what it could mean for portfolio construction in the year ahead. https://inves.co/3sqf3b2",https://www.linkedin.com/feed/update/urn:li:activity:6884569448058097664,Organic,,Jessica Huban,01/05/2022,,,All followers,79,3,1,0.012658228,1,0,0,,0.025316456,Video
Wishing you and yours a safe and joyous celebration as we ring in 2022. May your year ahead be filled with good fortune and fond memories together. #happynewyear ,https://www.linkedin.com/feed/update/urn:li:activity:6882712104722415616,Organic,,Jessica Huban,12/31/2021,,,All followers,67,,0,0,0,0,0,,0,
Wishing you and yours a safe and joyous celebration as we ring in 2022. May your year ahead be filled with good fortune and fond memories together. #happynewyear ,https://www.linkedin.com/feed/update/urn:li:activity:6882712104508506112,Organic,,Jessica Huban,12/31/2021,,,All followers,76,,0,0,0,0,0,,0,
"During the pandemic, consumers reoriented their spending toward goods and away from services, which contributed to supply chain issues and impacted inflation. How long will these issues linger? Check out our base case and two alternate scenarios for markets in 2022, and our favored asset classes for each possibility. https://inves.co/3sqf3b2",https://www.linkedin.com/feed/update/urn:li:activity:6881624021729988608,Organic,,Jessica Huban,12/28/2021,,,All followers,90,2,1,0.011111111,0,0,0,,0.011111111,Video
The path of inflation is one of the most critical issues our clients are facing going into the new year. Find out how our global market strategists are answering this question and read about their expectations for the markets and global economy for next year. Download our new report: 2022 Investment Outlook. https://inves.co/3sqf3b2,https://www.linkedin.com/feed/update/urn:li:activity:6879849434671284224,Organic,,Jessica Huban,12/23/2021,,,All followers,48,1,0,0,0,0,0,,0,Video
"#PlanSponsors, 60% of large US employers plan to offer an emergency savings program to help address financial insecurity. https://inves.co/3Fkn98A  #ShiftingDCTimes

AARP Public Policy Institute, “Saving at Work for a Rainy Day: Results from a National Survey of Employees,” Washington, DC, December 2018 (survey of 2,603 working adults ages 25-64). Most recent data available.",https://www.linkedin.com/feed/update/urn:li:activity:6876234307438964736,Organic,,Jessica Huban,12/13/2021,,,All followers,78,,1,0.012820513,1,0,0,,0.025641026,
Wishing you a peaceful holiday season and a prosperous new year full of greater possibilities. #happyholidays2021,https://www.linkedin.com/feed/update/urn:li:activity:6876143875484860417,Organic,,Jessica Huban,12/13/2021,,,All followers,96,0,1,0.010416667,1,0,0,,0.020833334,Video
"The stage is set for 2022 to be a year of transition as policies and economies move toward a more normal state. But issues remain, including concerns about inflation. Our annual investment outlook presents our base case expectations for the economy, markets, and specific asset classes — and what could happen if inflation turns out to be better, or worse, than expected. https://inves.co/3rN2YfG",https://www.linkedin.com/feed/update/urn:li:activity:6874791130907590656,Organic,,Jessica Huban,12/09/2021,,,All followers,145,,5,0.034482758,2,0,0,,0.048275862,
"#PlanSponsors, Unum offers employees two new innovative benefit programs, from retirement income to student debt relief. https://inves.co/3DoAAnd #ShiftingDCTImes",https://www.linkedin.com/feed/update/urn:li:activity:6873999732130226176,Organic,,Jessica Huban,12/07/2021,,,All followers,70,,0,0,0,0,0,,0,
#PlanSponsors can help DC plan members achieve better portfolio diversification by embracing an emerging market equities strategy. https://inves.co/3CjZS4v #ShiftingDCTimes,https://www.linkedin.com/feed/update/urn:li:activity:6871100569482743809,Organic,,Jessica Huban,11/29/2021,,,All followers,64,,0,0,0,0,0,,0,
Explore how Unum’s new retirement income program is going the distance by giving retirees more control and flexibility. https://inves.co/30xcXdZ #ShiftingDCTimes,https://www.linkedin.com/feed/update/urn:li:activity:6868563819174617088,Organic,,Jessica Huban,11/22/2021,,,All followers,61,,0,0,0,0,0,,0,
We are pleased to be a sponsor of the 54th Annual Canadian Employee Benefits Conference from November 22–24 and November 29—December 1,https://www.linkedin.com/feed/update/urn:li:activity:6867496920365985792,Organic,, ,11/19/2021,,,All followers,60,,1,0.016666668,0,0,0,,0.016666668,
#PlanSponsors Help plan members build vital cash savings and safeguard retirement accounts. https://inves.co/3kEUqDc #ShiftingDCTimes ,https://www.linkedin.com/feed/update/urn:li:activity:6866751848842326016,Organic,,Jessica Huban,11/17/2021,,,All followers,50,,1,0.02,0,0,0,,0.02,
"The COVID-19 pandemic was seen as a test of the factor approach, with the ability of factor allocations to keep pace during a volatile period viewed as important for imbuing long-term confidence in a factor approach. Our Global Factor Study found that factor allocations are on the rise as post-pandemic recovery attracts investors to value. Learn more: https://inves.co/3b2icUH",https://www.linkedin.com/feed/update/urn:li:activity:6864215127999188992,Organic,,Jessica Huban,11/10/2021,,,All followers,54,,0,0,0,0,0,,0,
"The rise of factor investing in fixed income continues, with survey respondents indicating the low yield environment has made a factor approach in fixed income more attractive, offering an opportunity for uncovering untapped sources of return potential and additional diversification. Read more in the Global Factor Study: https://inves.co/3b2icUH",https://www.linkedin.com/feed/update/urn:li:activity:6861663422640070656,Organic,,Jessica Huban,11/03/2021,,,All followers,27,,0,0,0,0,0,,0,
"Increasing focus on the potential benefits of ESG incorporation leads investors towards a factor-based approach. Factor investing is seen as more compatible with ESG than a market-weighted approach, but behind fundamental active. Learn more in our most recent Global Factor Study: https://inves.co/3b2icUH",https://www.linkedin.com/feed/update/urn:li:activity:6859206976744779778,Organic,,Jessica Huban,10/27/2021,,,All followers,87,,2,0.022988506,0,0,0,,0.022988506,
STARTING NOW: Does a custom index solution make sense for your organization? Join to learn more from institutional indexing experts. https://inves.co/3jmC2yz,https://www.linkedin.com/feed/update/urn:li:activity:6859187785211895808,Organic,,Jessica Huban,10/27/2021,,,All followers,131,,0,0,0,0,0,,0,
"Our sixth annual Global Factor Investing Study incorporates the views of 130 institutional investors and 111 retail investors. This uniquely large and comprehensive examination of global factor investing offers an opportunity to understand the drivers of factor investing, investor experiences and methods of implementation. Read the full study: https://inves.co/3b2icUH",https://www.linkedin.com/feed/update/urn:li:activity:6858462323854598145,Organic,,Jessica Huban,10/25/2021,,,All followers,60,,0,0,0,0,0,,0,
There’s still time to register to learn what experts consider the three steps to consider while forming your passive investing strategy through an active lens. https://inves.co/3jmC2yz,https://www.linkedin.com/feed/update/urn:li:activity:6858402922938556416,Organic,,Jessica Huban,10/25/2021,,,All followers,109,,0,0,0,0,0,,0,
REGISTER: Join this webcast to hear experts discuss alternative strategies to approaching passive investing. https://inves.co/3jmC2yz,https://www.linkedin.com/feed/update/urn:li:activity:6857324399511638016,Organic,,Jessica Huban,10/22/2021,,,All followers,94,,3,0.031914894,1,0,0,,0.04255319,
"Asset owners are turning to a growing universe of customized indices. While indices represent a significant step forward in the beta space, investors need to understand the elements that go into building customized solutions. Learn more: https://inves.co/3FwMsF5 ",https://www.linkedin.com/feed/update/urn:li:activity:6854098495050145792,Organic,,Jessica Huban,10/13/2021,,,All followers,75,,0,0,0,0,0,,0,
Wishing everyone a happy and safe Thanksgiving from Invesco Canada!,https://www.linkedin.com/feed/update/urn:li:activity:6853313778071703552,Organic,,Jessica Huban,10/11/2021,,,All followers,161,,0,0,0,0,0,,0,
"September 30 marks the first National Day for Truth and Reconciliation in Canada. Today, we honour the lives of the survivors and the Indigenous children lost to Canada’s residential school system. This public day of acknowledgement is one of many steps our nation needs to take toward healing this tragic legacy. We encourage everyone to use this day of reflection to learn about our history, listen to survivors and their families, and find ways to support Indigenous communities.
 
#NDTR #EveryChildMatters
",https://www.linkedin.com/feed/update/urn:li:activity:6849440364550471680,Organic,,Jessica Huban,09/30/2021,,,All followers,263,,6,0.022813689,6,0,0,,0.045627378,
REGISTER: Join this webcast to learn how an active approach to indexing may work within your organization. https://inves.co/3jbwgQB ,https://www.linkedin.com/feed/update/urn:li:activity:6836296193698480128,Organic,,Jessica Huban,08/25/2021,,,All followers,144,,2,0.013888889,3,0,0,,0.034722224,
REGISTER: Join this webcast to learn how an active approach to indexing may work within your organization. https://inves.co/3jbwgQB ,https://www.linkedin.com/feed/update/urn:li:activity:6836296193698480128,Sponsored,Canada - P&I Webcast Boosted Post,Jessica Huban,08/25/2021,08/25/2021,09/01/2021,All followers,9413,,62,0.006586635,3,0,0,0,0.012004674,
REGISTER: Join this webcast to learn how an active approach to indexing may work within your organization. https://inves.co/3jbwgQB ,https://www.linkedin.com/feed/update/urn:li:activity:6836296193698480128,Total,,Jessica Huban,08/25/2021,,,All followers,9557,,64,0.006696662,6,0,0,0,0.012346971,
"If you missed our real estate webcasts last week, there is still time to register for our next session airing on August 19 at 2PM EST. Join our experts for a webcast focused on the global landscape and current regional considerations for investing in Europe. https://inves.co/3iQi12g ",https://www.linkedin.com/feed/update/urn:li:activity:6833128289561849856,Organic,,Jessica Huban,08/16/2021,,,All followers,137,,3,0.02189781,2,0,0,,0.036496349,
"If you missed our real estate webcasts last week, there is still time to register for our next session airing on August 19 at 2PM EST. Join our experts for a webcast focused on the global landscape and current regional considerations for investing in Europe. https://inves.co/3iQi12g ",https://www.linkedin.com/feed/update/urn:li:activity:6833128289561849856,Sponsored,Canadian Real Estate Webcast Series - Sponsored Posts,Jessica Huban,08/16/2021,08/05/2021,08/19/2021,All followers,3361,,13,0.003867897,5,0,0,0,0.009520976,
"If you missed our real estate webcasts last week, there is still time to register for our next session airing on August 19 at 2PM EST. Join our experts for a webcast focused on the global landscape and current regional considerations for investing in Europe. https://inves.co/3iQi12g ",https://www.linkedin.com/feed/update/urn:li:activity:6833128289561849856,Total,,Jessica Huban,08/16/2021,,,All followers,3498,,16,0.004574042,7,0,0,0,0.010577473,
"Join our experts tomorrow, August 12 at 2PM EST for the next webcast in our global real estate series. This session will be focused on the current regional considerations for real estate investing in Asia. https://inves.co/3iQi12g",https://www.linkedin.com/feed/update/urn:li:activity:6831222742726017024,Organic,,Jessica Huban,08/11/2021,,,All followers,329,,5,0.015197569,5,0,0,,0.030395137,
"Join our experts tomorrow, August 12 at 2PM EST for the next webcast in our global real estate series. This session will be focused on the current regional considerations for real estate investing in Asia. https://inves.co/3iQi12g",https://www.linkedin.com/feed/update/urn:li:activity:6831222742726017024,Sponsored,Canadian Real Estate Webcast Series - Sponsored Posts,Jessica Huban,08/11/2021,08/05/2021,08/19/2021,All followers,7549,,39,0.005166247,4,0,0,0,0.009007815,
"Join our experts tomorrow, August 12 at 2PM EST for the next webcast in our global real estate series. This session will be focused on the current regional considerations for real estate investing in Asia. https://inves.co/3iQi12g",https://www.linkedin.com/feed/update/urn:li:activity:6831222742726017024,Total,,Jessica Huban,08/11/2021,,,All followers,7878,,44,0.005585174,9,0,0,0,0.00990099,
Join our experts August 10 at 2PM EST for a global real estate webcast focused on the macro landscape and current regional considerations for real estate investing in North America. https://inves.co/3iQi12g,https://www.linkedin.com/feed/update/urn:li:activity:6829049099774390272,Organic,,Jessica Huban,08/05/2021,,,All followers,147,,8,0.054421768,1,0,0,,0.06122449,
